RELVAR ELLIPTA,ANTIASMATICOS,FUROATO DE FLUTICASONA +  TRIFENATATO DE VILANTEROL,,,
REMERON,ANTIDEPRESSIVOS,MIRTAZAPINA,,,
REMETIN,ANTIEMETICOS E ANTINAUSEANTES,,,,
REMICADE,ANTINFLAMATORIOS,,,,
REMIFAS,ANALGESICOS NARCOTICOS,CLORIDRATO DE REMIFENTANILA,,,
REMIFEN,ANALGESICOS NARCOTICOS,,,,
REMIJIA FERRUGINEA DC. + ASSOCIAÇÕES,FITOTERAPICO COMPOSTO,,,,
REMILEV,ANSIOLITICOS-ASSOCIACOES MEDICAMENTOSAS + FITOTERAPICOS ASSOCIADOS,HUMULUS LUPULUS L. +  VALERIANA OFFICINALIS L.,,,
REMINYL,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO,BROMIDRATO DE GALANTAMINA,,,
REMIS,ANTIDEPRESSIVOS,,,,
REMISTESI,ANALGESICOS NARCOTICOS,CLORIDRATO DE REMIFENTANILA,,,
REMODULIN,VASODILATADORES PERIFERICOS,,,,
REMOTIV,ANTIDEPRESSIVOS + FITOTERAPICO SIMPLES,,,,
RENAGEL,OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF,,,,
RENAL-VIT,POLIVITAMINICOS COM MINERAIS,,,,
RENALAPRIL,ANTI-HIPERTENSIVOS,,,,
RENAPRIL,ANTI-HIPERTENSIVOS,MALEATO DE ENALAPRIL,,,
RENIPRESS,ANTI-HIPERTENSIVOS,,,,
RENITEC,ANTI-HIPERTENSIVOS,MALEATO DE ENALAPRIL,,,
RENOPEN,OUTROS PRODUTOS COM ACAO NO TRATO URINARIO,,,,
RENOPRESS,ANTI-HIPERTENSIVOS SIMPLES,,,,
RENOPRIL,ANTI-HIPERTENSIVOS,MALEATO DE ENALAPRIL,,,
RENOVI B,PRODUTOS A BASE DE VIT  B 12-ASSOCIACOES MEDICAMENTOSAS,CIANOCOBALAMINA +  CLORIDRATO DE PIRIDOXINA +  NITRATO DE TIAMINA,,,
RENOVI B PLUS,ANTINFLAMATORIOS E ANTIREUMATIOS-ASSOCS  MEDICAMENTOSAS,CIANOCOBALAMINA +  CLORIDRATO DE PIRIDOXINA +  CLORIDRATO DE TIAMINA +  FOSFATO DISSÓDICO DE DEXAMETASONA,,,
RENUTRIM (CLORIDRATO DE CICLOBENZAPRINA),RELAXANTES MUSCULARES,,,,
REOPRO,ANTITROMBOTICO,,,,
REPADIAB,ANTIDIABETICOS,,,,
REPAGLINIDA,ANTIDIABETICOS,,,,
REPARIL,ANTINFLAMATORIOS,,,,
REPAROSONO,ANSIOLÍTICOS,PASSIFLORA INCARNATA L.,,,
REPATHA,ANTILIPEMICOS,EVOLOCUMABE,,,
REPERVITEEN,POLIVITAMINICOS COM MINERAIS,,,,
REPLENINE - VF,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA,,,,
REPOCAL D,OUTROS SUPLEMS  MINERAIS EXCETO DE FERRO E P/ REHIDRATACAO,,,,
REPOFLOR,OUTROS COADJUVANTES DO TRATAMENTO DA DIARREIA,SACCHAROMYCES BOULARDII +  SACCHAROMYCES BOULARDII - 17,,,
REPOGEN,ESTROGENOS SIMPLES,,,,
REPOPIL,ANTICONCEPCIONAIS,,,,
REPOPIL 35,ANTICONCEPCIONAIS,ACETATO DE CIPROTERONA +  ETINILESTRADIOL,,,
REPOTAS,OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF,,,,
REPRIL,ANTI-HIPERTENSIVOS,,,,
REQUIP,ANTIPARKINSONIANOS,,,,
RESCOLD,PRODUTO P.TERAPIA SINTOMATICA DA GRIPE + PRODUTOS PARA TERAPIA SINTOMATICA DA GRIPE,,,,
RESCUVOLIN,ANTIANEMICOS,,,,
RESERPINA + SULFATO ÁCIDO DE DIIDRALAZINA + HIDROCLOROTIAZIDA,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS,,,,
RESFEC,ANALGESICOS,PARACETAMOL,,,
RESFEDRYL,PRODUTOS PARA TERAPIA SINTOMATICA DA GRIPE,CLORIDRATO DE FENILEFRINA +  MALEATO DE CLORFENAMINA +  PARACETAMOL,,,
RESFENAX GRIPE,PRODUTOS PARA TERAPIA SINTOMATICA DA GRIPE,,,,
RESFENOL,PRODUTO P.TERAPIA SINTOMATICA DA GRIPE,CLORIDRATO DE FENILEFRINA +  MALEATO DE CLORFENAMINA +  PARACETAMOL,,,
RESFENOL THERMUS,ANALGESICOS NAO NARCOTICOS,AROMA DE MEL +  PARACETAMOL,,,
RESFETAMOL,PRODUTO P.TERAPIA SINTOMATICA DA GRIPE,,,,
RESFETON,PRODUTOS PARA TERAPIA SINTOMATICA DA GRIPE,,,,
RESFIGRIPE,PRODUTOS PARA TERAPIA SINTOMATICA DA GRIPE,,,,
RESFRILIV,PRODUTO P.TERAPIA SINTOMATICA DA GRIPE,CLORIDRATO DE FENILEFRINA +  MALEATO DE CLORFENIRAMINA +  PARACETAMOL,,,
RESFRINON,FITOTERAPICO SIMPLES + OUTROS PRODUTOS PARA O APARELHO RESPIRATORIO,,,,
RESFRIOL,PRODUTO P.TERAPIA SINTOMATICA DA GRIPE,CITRATO DE PENTOXIVERINA +  CLORIDRATO DE FENILEFRINA +  MALEATO DE CARBINOXAMINA +  PARACETAMOL,,,
RESFRIOL S,ANALGESICOS,,,,
RESFRYNEO,ANALGESICOS NAO NARCOTICOS,,,,
RESFRYNEO DUO,ANALGESICOS NAO NARCOTICOS,CLORIDRATO DE FENILEFRINA +  PARACETAMOL,,,
RESGAT,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.,FUROATO DE MOMETASONA,,,
RESILO - H,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS,,,,
RESINATO DE NICOTINA,ANTITABAGICO,,,,
RESIST,OUTROS PRODUTOS COM ACAO IMUNOPROTETORA,CLORIDRATO DE LISINA,,,
RESMINOLIV,BRONCODILATADORES,AMINOFILINA,,,
RESODIC,ANTINFLAMATORIOS,,,,
RESOLOR,OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO,PRUCALOPRIDA,,,
RESPAN,PRODUTOS PARA TERAPIA NASAL DE ACAO ESPECIFICA,,,,
RESPEXIL,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
RESPHY,PRODUTOS PARA TERAPIA SINTOMATICA DA GRIPE,CLORIDRATO DE FENILEFRINA +  MALEATO DE CLORFENIRAMINA +  PARACETAMOL,,,
RESPIDON,NEUROLEPTICOS,,,,
RESPILIV,DESCONGESTIONANTES NASAIS SISTEMICOS,,,,
RESPIRAN,BRONCODILATADORES,,,,
RESPIRATUS,EXPECTORANTES + FITOTERAPICO SIMPLES,,,,
RESPRAX,PRODUTOS PARA TERAPIA SINTOMATICA DA GRIPE,,,,
RESPRIN,ANALGESICOS NAO NARCOTICOS,,,,
RESTASIS,OUTROS MEDICAMENTOS COM ACAO NO APARELHO VISUAL,CICLOSPORINA,,,
RETACNYL,PRODUTOS ANTI-ACNE,,,,
RETEMIC,ANTIESPASMODICOS,CLORIDRATO DE OXIBUTININA,,,
RETENAC,REPOSICAO HIDROELETROLITICA E ALIMENTACAO PARENTERAL,,,,
RETHERA,ANTIDEPRESSIVOS,,,,
RETIN   A,PRODUTOS ANTI-ACNE,,,,
RETIN - A,PRODUTOS ANTI-ACNE,,,,
RETINAR,VITAMINAS,,,,
RETINOL + ASSOCIAÇÕES,POLIVITAMINICOS COM MINERAIS,,,,
RETINOL + COLECALCIFEROL,POLIVITAMINICOS SEM MINERAIS,,,,
RETINOL + COLECALCIFEROL + ACIDO BORICO + OXIDO DE ZINCO,EMOLIENTES E PROTETORES DA PELE E MUCOSAS,,,,
RETINOL + OXIDO DE ZINCO,CICATRIZANTES,,,,
RETINOL + TOCOFEROL +ASSOC,OUTROS MEDICAMENTOS COM ACAO NO APARELHO VISUAL,,,,
RETINOVA,OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS,,,,
RETROVIR,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA),,,,
RETTAN,OUTROS PRODUTOS COM ACAO NO TRATO URINARIO,CLORIDRATO DE TANSULOSINA,,,
REUFLEN,ANTINFLAMATORIOS ANTIREUMATICOS,,,,
REUMADIL,ANTINFLAMATORIOS,,,,
REUMAKI,ANTIMALARICOS,,,,
REUMALIV,ANTINFLAMATORIOS + FITOTERAPICO SIMPLES,HARPAGOPHYTUM PROCUMBENS DC. EX MEISSN.,,,
REUMAMED,ASSOCIACAO HOMEOPATICAS,,,,
REUMAREN,ANTINFLAMATORIOS ANTIREUMATICOS,,,,
REUMASIL BIONATUS,ANTINFLAMATORIOS + FITOTERAPICO SIMPLES,,,,
REUMIAN,ANTINFLAMATORIOS ANTIREUMATICOS,LEFLUNOMIDA,,,
REUMOTEC,ANTINFLAMATORIOS ANTIREUMATICOS,TENOXICAM,,,
REUPLAQ,ANTIMALARICOS,SULFATO DE HIDROXICLOROQUINA,,,
REUQUINOL,ANTIMALARICOS,SULFATO DE HIDROXICLOROQUINA,,,
REUTAREN,ANTINFLAMATORIOS,,,,
REUTREXATO,ANTINEOPLASICO,,,,
REUTRITE,ANTINFLAMATORIOS,,,,
REVANGE,ANTIANGINOSOS E VASODILATADORES,,,,
REVASC,ANTICOAGULANTES,,,,
REVASTIN,ANTILIPEMICOS,,,,
REVATIO,VASODILATADORES,,,,
REVECTINA,ANTIPARASITARIOS,,,,
REVENIL,BRONCODILATADORES,,,,
REVENIL EXPECTORANTE,BRONCODILATADORES,,,,
REVERSO,OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF,SUGAMADEX SÓDICO,,,
REVERT,OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS,,,,
REVESTIVE,OUTROS HORMONIOS E MODULADORES DO METABOLISMO E DA DIGESTAO,,,,
REVIA,ANTIALCOOLICO,CLORIDRATO DE NALTREXONA,,,
REVIGONAL,NEUROPSICOESTIMULANTES,,,,
REVIRAX,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA),,,,
REVITAM A-S,VITAMINAS E SUPLEMENTOS MINERAIS,,,,
REVITAM ANTI-OX,VITAMINAS E SUPLEMENTOS MINERAIS,,,,
REVITAM JÚNIOR,VITAMINAS E SUPLEMENTOS MINERAIS,,,,
REVITAM PRÉ-NATAL COM FLÚOR,VITAMINAS E SUPLEMENTOS MINERAIS,,,,
REVIVAN,OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR,,,,
REVLIMID,OUTROS AGENTES IMUNOSSUPRESSORES,,,,
REVOC,ANTIDEPRESSIVOS,MALEATO DE FLUVOXAMINA,,,
REVOLADE,OUTROS PRODUTOS ANTI-HEMORRAGICOS,,,,
REXPECONE,EXPECTORANTES BALSAMICOS E MUCOLITICO,CLORIDRATO DE AMBROXOL,,,
REYATAZ,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA),SULFATO DE ATAZANAVIR,,,
RHALUNID,ANTIINFLAMATÓRIOS E ANTIREUMÁTICOS,CETOPROFENO,,,
RHAMMUS PUSHIANA DC.,FITOTERAPICO SIMPLES,,,,
RHAMNUS PURSHIANA,FITOTERAPICO SIMPLES,,,,
RHAMNUS PURSHIANA D.C.,FITOTERAPICO SIMPLES,,,,
RHANITAK,ANTIULCEROSOS,,,,
RHESONATIV,IMUNOGLOBULINAS,IMUNOGLOBULINA ANTI-D,,,
RHEUMA - HEEL,ASSOCIACAO HOMEOPATICAS,,,,
RHEUMA W,ASSOCIACAO HOMEOPATICAS,,,,
RHEUMAFIM,ANTINFLAMATORIOS E ANTIREUMATIOS-ASSOCS  MEDICAMENTOSAS,,,,
RHEUMARTROSE,ASSOCIACAO HOMEOPATICAS,,,,
RHEUMODORON-1,MEDICAMENTOS DINAMIZADOS COMPOSTOS,,,,
RHEUMOFLORA,PRODUTOS NATURAIS ASSOCIADOS,,,,
RHINAAXIA,ANTIALERGICOS TOPICOS,,,,
RHINATHIOL,EXPECTORANTES BALSAMICOS E MUCOLITICO,,,,
RHINOSEPT,DESCONGESTIONANTES NASAIS TOPICOS,,,,
RHOPHYLAC,IMUNOGLOBULINAS,,,,
RIABNI,ANTINEOPLASICO,RITUXIMABE,,,
RIBATION,ANTIVIROTICOS,,,,
RIBAV,ANTIVIROTICOS,,,,
RIBAVIRIN,ANTIVIROTICOS,RIBAVIRINA,,,
RIBAVIRINA,ANTIVIROTICOS,RIBAVIRINA,,,
RIBAVIRON C,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA),,,,
RIBOMUSTIN,ANTINEOPLASICOS CITOTOXICOS,CLORIDRATO DE BENDAMUSTINA,,,
RICONAZOL,ANTIMICOTICO,,,,
RIELEX,RELAXANTES MUSCULARES CENTRAIS SIMPLES,,,,
RIFACIN,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
RIFADAL,TUBERCULOSTATICOS,,,,
RIFALDIN,RIFAMPICINAS,,,,
RIFAMAX,TUBERCULOSTATICOS,,,,
RIFAMICINA,RIFAMPICINAS,RIFAMICINA SV SÓDICA,,,
RIFAMICINA SV SODICA,ANTINFECCIOSOS TOPICOS,,,,
RIFAMISON,TUBERCULOSTATICOS,,,,
RIFAMPICINA,TUBERCULOSTATICOS,,,,
RIFAMPICINA  + ISONIAZIDA,TUBERCULOSTATICOS,,,,
RIFAMPICINA + DAPSONA,HANSENOSTATICOS,,,,
RIFAMPICINA + ISONIAZIDA,TUBERCULOSTATICOS,,,,
RIFAMPICINA + ISONIAZIDA + PIRAZINAMIDA,TUBERCULOSTATICOS,,,,
RIFAMPICINA IVB,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
RIFAN SPRAY,RIFAMPICINAS,,,,
RIFANPTIL,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
RIFANSIL,RIFAMPICINAS,,,,
RIFANSIL COMPOSTO,TUBERCULOSTATICOS,,,,
RIFANTEX,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
RIFAPENTINA,TUBERCULOSTATICOS,,,,
RIFASAN,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
RIFAZOMIDA,TUBERCULOSTATICOS,,,,
RIFOCINA M,RIFAMPICINAS,,,,
RIFOCINA SPRAY,ANTIBACTERIANO,,,,
RIFOCORT,ANTINFECCIOSOS TOPICOS,,,,
RIFONDIL,TUBERCULOSTATICOS,,,,
RIFOTRAT,RIFAMPICINAS,RIFAMICINA,,,
RIGMINA,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO,,,,
RILAN,ANTIALERGICOS TOPICOS,CROMOGLICATO DISSODICO,,,
RILOTOL,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO,,,,
RILUTEK,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO,,,,
RILUZOL,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO,,,,
RINAFEN,PRODUTOS PARA TERAPIA SINTOMATICA DA GRIPE,,,,
RINARIN,DESCONGESTIONANTES NASAIS SISTEMICOS,,,,
RINGER,ELETROLITOS SIMPLES,CLORETO DE POTÁSSIO +  CLORETO DE SÓDIO +  CLORETO DE CÁLCIO DIIDRATADO,,,
RINGER COM LACTATO,ELETROLITOS SIMPLES,,,,
RINGER COM LACTATO DE SODIO,REIDRATANTES PARENTERAIS,,,,
RINGER COM LACTATO DE SÓDIO,REIDRATANTES PARENTERAIS,,,,
RINGER COM LACTATO DE SÓDIO BASA,REPOSICAO HIDROELETROLITICA E ALIMENTACAO PARENTERAL,,,,
RINGER COM LACTÁTO DE SÓDIO,OUTRAS SOL P/ REPOS  HIDROELETROLITICA E ALIM  PARENTERAL,CLORETO DE POTÁSSIO +  CLORETO DE SÓDIO +  LACTATO DE SÓDIO +  CLORETO DE CÁLCIO DIIDRATADO +  ÁGUA PARA INJETÁVEIS QSP,,,
RINGER FRESENIUS,ELETROLITOS SIMPLES,,,,
RINGERFUNDIN,REPOSICAO HIDROELETROLITICA E ALIMENTACAO PARENTERAL,,,,
RINIDAL,DESCONGESTIONANTES NASAIS SISTEMICOS,,,,
RINIDON,ASSOCIACAO HOMEOPATICAS,,,,
RINIGRAN,DESCONGESTIONANTES NASAIS TOPICOS,,,,
RINISONE,DESCONGESTIONANTES NASAIS TOPICOS,,,,
RINO GOTAS,DESCONGESTIONANTES NASAIS TOPICOS,,,,
RINO-ATINAC,ANTI-HISTAMINICOS SISTEMICOS,,,,
RINO-LASTIN,ANTIALERGICOS,,,,
RINO-MAX,DESCONGESTIONANTES NASAIS TOPICOS,,,,
RINOBEN,PREPARACOES DE ACAO NASAL,,,,
RINODRIN,DESCONGESTIONANTES NASAIS TOPICOS,,,,
RINOFLUIMUCIL,DESCONGESTIONANTES NASAIS TOPICOS,,,,
RINOFLUX,DESCONGESTIONANTES NASAIS TOPICOS,,,,
RINOKLIN,DESCONGESTIONANTES NASAIS TOPICOS,,,,
RINOLON,DESCONGESTIONANTES NASAIS TOPICOS,,,,
RINORDIL,DESCONGESTIONANTES NASAIS TOPICOS,,,,
RINOS-A,DESCONGESTIONANTES NASAIS TOPICOS,,,,
RINOSBON,PREPARACOES DE ACAO NASAL,,,,
RINOSOFT S SOLUÇÃO,DESCONGESTIONANTES NASAIS TOPICOS,,,,
RINOSOL,SOLUCOES ISOSMOTICAS SALINAS SIMPLES,,,,
RINOSORO,DESCONGESTIONANTES NASAIS TOPICOS,,,,
RINOSORO SIC,DESCONGESTIONANTES NASAIS TOPICOS,,,,
RINOZEST ADULTO,DESCONGESTIONANTES NASAIS TOPICOS,,,,
RINOZIN,DESCONGESTIONANTES NASAIS TOPICOS,,,,
RINVOQ,IMUNOSSUPRESSORES SELETIVOS,UPADACITINIBE HEMI-HIDRATADO,,,
RIOCIM,NITROFURANICOS,,,,
RIODEINE DEGERMANTE,ANTISSEPTICO,,,,
RIODEINE TINTURA,ANTISSEPTICO,,,,
RIODEINE TOPICO,ANTISSEPTICO,,,,
RIOHEX,ANTISSEPTICO,,,,
RIOPAN,ANTIACIDOS E ANTIULCEROSOS,MAGALDRATO,,,
RIOPAN PLUS,ANTIACIDOS E ANTIULCEROSOS,MAGALDRATO +  SIMETICONA,,,
RIOXINA,GLICOSIDEOS CARDIACOS,,,,
RIPEVIL,NEUROLEPTICOS,,,,
RIPOSO,HIPNOTICOS,,,,
RIPOSO SL,HIPNOTICOS,HEMITARTARATO DE ZOLPIDEM,,,
RISEDRONATO SODICO,SUPRESSORES DA REABSORCAO OSSEA,,,,
RISEDRONATO SÓDICO,SUPRESSORES DA REABSORCAO OSSEA,,,,
RISEDRONEL,SUPRESSORES DA REABSORCAO OSSEA,,,,
RISEDROSS,SUPRESSORES DA REABSORCAO OSSEA,,,,
RISELLE,ESTROGENOS SIMPLES,,,,
RISLEPTIC,NEUROLEPTICOS,,,,
RISONATO,SUPRESSORES DA REABSORCAO OSSEA,RISEDRONATO SÓDICO,,,
RISPALUM,NEUROLEPTICOS,RISPERIDONA,,,
RISPERAC,NEUROLEPTICOS,RISPERIDONA,,,
RISPERDAL,NEUROLEPTICOS,RISPERIDONA,,,
RISPERIDON,NEUROLEPTICOS,RISPERIDONA,,,
RISPERIDONA,NEUROLEPTICOS,,,,
RISPERIDONA (PORT 344/98 - LISTA C1),NEUROLEPTICOS,RISPERIDONA,,,
RISPERIX,NEUROLEPTICOS,,,,
RISS,NEUROLEPTICOS,RISPERIDONA,,,
RITALINA,PSICOANALETICOS,CLORIDRATO DE METILFENIDATO,,,
RITAPEELS,FITOTERAPICO SIMPLES + VASODILATADORES CEREBRAIS,GINKGO BILOBA L.,,,
RITCOR,BETABLOQUEADORES SIMPLES,,,,
RITMONEURAN,FITOTERAPICO COMPOSTO,,,,
RITMONEURAN RTM,ANSIOLITICOS SIMPLES + FITOTERAPICO SIMPLES,PASSIFLORA INCARNATA L.,,,
RITMONORM,ANTIARRITMICOS,,,,
RITODRINA,DEPRESSORES UTERINOS,,,,
RITONAVIR,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA),,,,
RITONAVIR (PORT 344 L C-4),ANTIVIROTICOS (INIBE REPLICACAO VIROTICA),,,,
RITONAVIR (PORT 344 LISTA C-4),ANTIVIROTICOS (INIBE REPLICACAO VIROTICA),,,,
RITONAVIR (PORT 344/98 L C-4),ANTIVIROTICOS (INIBE REPLICACAO VIROTICA),,,,
RITONAVIR (PORT 344/98 LISTA C4),ANTIVIROTICOS (INIBE REPLICACAO VIROTICA),,,,
RITONAVIR (PORT. 344/98 LISTA C 4),ANTIVIROTICOS,,,,
RITOP,ANTICONVULSIVANTES,TOPIRAMATO,,,
RITOVIR,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA),,,,
RITPRESS,ANTI-HIPERTENSIVOS SIMPLES,,,,
RITROXIM,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
RIVACRIST,AGENTES ANTITROMBÓTICOS,RIVAROXABANA,,,
RIVADIXA,ANTITROMBOTICO,,,,
RIVALON,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO,,,,
RIVAR,AGENTES ANTITROMBÓTICOS,RIVAROXABANA,,,
RIVASTELON,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO,HIDROGENOTARTARATO DE RIVASTIGMINA,,,
RIVAXA,AGENTES ANTITROMBÓTICOS,RIVAROXABANA,,,
RIVNEO,ANTITROMBOTICO,RIVAROXABANA,,,
RIVOTRIL,ANTICONVULSIVANTES,,,,
RIXANTIL,ANTITROMBOTICO,RIVAROXABANA,,,
RIXEVAST,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO,,,,
RIXIMYO,ANTINEOPLASICO,RITUXIMABE,,,
RIXUBIS,OUTROS PRODUTOS QUE ATUAM NO SANGUE E HEMATOPOIESE,,,,
RIZI,ANTIALERGICOS,DICLORIDRATO DE LEVOCETIRIZINA,,,
RIZI-M,ANTIALERGICOS,DICLORIDRATO DE LEVOCETIRIZINA +  MONTELUCASTE DE SÓDIO,,,
RL - SOLUÇÃO DE RINGER COM LACTATO DE SÓDIO,REPOSICAO HIDROELETROLITICA E ALIMENTACAO PARENTERAL,,,,
ROACUTAN,PRODUTOS ANTI-ACNE,ISOTRETINOÍNA,,,
ROBUSTERINA,PRODUTOS NATURAIS ASSOCIADOS,,,,
ROCALTROL,OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO,,,,
ROCEFIN,CEFALOSPORINAS,CEFTRIAXONA DISSÓDICA HEMIEPTAIDRATADA,,,
ROCHAGAN,ANTICHAGASICOS,,,,
ROCKY,ANTIPARKINSONIANOS,DICLORIDRATO DE PRAMIPEXOL,,,
ROCKY LP,ANTIPARKINSONIANOS,DICLORIDRATO DE PRAMIPEXOL MONOIDRATADO,,,
ROCURON,BLOQUEADOR NEUROMUSCULAR,BROMETO DE ROCURÔNIO,,,
RODAVIR,ANTIVIROTICOS,,,,
ROFECOXIB,ANTINFLAMATORIOS,,,,
ROFERON A,ANTINEOPLASICO,ALFAINTERFERONA 2A,,,
ROHYDORM,ANSIOLITICOS SIMPLES + HIPNOTICOS,,,,
ROHYPNOL,HIPNOTICOS,,,,
ROKISIL,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
ROLFILIN,ANTIMICOTICO,,,,
ROMERAN,BLOQUEADOR NEUROMUSCULAR,,,,
ROMUFY,ANTINEOPLASICO,EVEROLIMO,,,
RONAL,ANALGESICOS NAO NARCOTICOS,,,,
RONVAN,ESTROGENOS SIMPLES,,,,
ROPI,ANESTESICOS LOCAIS,CLORIDRATO DE ROPIVACAÍNA +  CLORIDRATO DE ROPIVACAÍNA MONOIDRATADO,,,
ROPINIROL (PORT 344/98 LISTA C1),ANTIPARKINSONIANOS,,,,
ROPI® BOLSA,ANESTESICOS LOCAIS,CLORIDRATO DE ROPIVACAÍNA MONOIDRATADO,,,
ROPOLIVY,ANTINEOPLASICO,,,,
ROSA®,ANTILIPEMICOS,ROSUVASTATINA CÁLCICA,,,
ROSOXACINO,ANTINFECCIOSOS,,,,
ROSTATIN,ANTILIPEMICOS,,,,
ROSUCOR,ANTILIPEMICOS,ROSUVASTATINA CÁLCICA,,,
ROSULIB,ANTILIPEMICOS,,,,
ROSURAX,ANTILIPEMICOS,,,,
ROSUSTATIN,ANTILIPEMICOS,,,,
ROSUVAST,ANTILIPEMICOS,,,,
ROSUVASTATINA CALCICA,ANTILIPEMICOS,,,,
ROSUVASTATINA CÁLCICA,ANTILIPEMICOS,ROSUVASTATINA CÁLCICA,,,
ROTARIX,VACINAS,ROTAVÍRUS HUMANO ATENUADO,,,
ROTATEQ,VACINAS,,,,
ROTEAS,ANTICOAGULANTES,TOSILATO DE EDOXABANA MONOIDRATADO,,,
ROTER,ANTIACIDOS E ANTIULCEROSOS,,,,
ROTRAM,MACROLIDEOS,,,,
ROTRETIN,PRODUTOS ANTI-ACNE,,,,
ROVAMICINA,MACROLIDEOS,,,,
ROVELAN,ANTI-HIPERTENSIVOS SIMPLES,,,,
ROVELAN HCT,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS,,,,
ROVICID,CLASSE DAS TETRACICLINAS,LIMECICLINA,,,
ROX,ANTILIPEMICOS,,,,
ROXACILIN,PENICILINAS PENICILINASE-RESISTENTES,,,,
ROXETIN,ANTIDEPRESSIVOS,,,,
ROXETIN XR,ANTIDEPRESSIVOS,CLORIDRATO DE PAROXETINA HEMI-HIDRATADO,,,
ROXFLAN,ANTI-HIPERTENSIVOS,,,,
ROXINA,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
ROXIPEN,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
ROXITRAM,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
ROXITRICINA,MACROLIDEOS,,,,
ROXITROMICINA,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
ROXITRON,MACROLIDEOS,,,,
ROXTRIL,MACROLIDEOS,,,,
ROXX,ANTINFLAMATORIOS,,,,
ROYCEFAX,CEFALOSPORINAS,,,,
ROYFLEX,RELAXANTES MUSCULARES CENTRAIS-ASSOCIACOES MEDICAMENTOSAS,,,,
ROYTEK,BRONCODILATADORES,,,,
ROYTON,HORMONIOS CORTICOSTEROIDES,,,,
ROYTRIN,TRIMETOPRIMA EM ASSOCIACAO COM SULFAS,,,,
ROYVIT,POLIVITAMINICOS COM MINERAIS,,,,
ROZEX,OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS,METRONIDAZOL,,,
ROZUBINE,ANTILIPEMICOS,ROSUVASTATINA CÁLCICA,,,
RPHKARDIA,AGENTES DIAGNOSTICOS NAO RADIOATIVOS,TETRAFLUORBORATO TETRAMIBI CUPROSO,,,
RPHLIMPHA,AGENTES DIAGNOSTICOS NAO RADIOATIVOS,ÁCIDO FÍTICO,,,
RPHNEFRO,AGENTES DIAGNOSTICOS NAO RADIOATIVOS,ÁCIDO PENTÉTICO,,,
RPHOSTEO,AGENTES DIAGNOSTICOS NAO RADIOATIVOS,ÁCIDO MEDRÔNICO,,,
RPHRENO,AGENTES DIAGNOSTICOS NAO RADIOATIVOS,SUCCÍMER,,,
RUBENTI,ANTIESPASMODICOS,CLORIDRATO DE MEBEVERINA,,,
RUBIDEX,RUBEFACIENTES,,,,
RUBIDOX,ANTIBIOTICOS ANTINEOPLASICOS,CLORIDRATO DE DOXORRUBICINA,,,
RUBINA,ANTIBIOTICOS ANTINEOPLASICOS,,,,
RUBOREN,ANTINFLAMATORIOS ANTIREUMATICOS + FITOTERAPICO SIMPLES,,,,
